applicant_id,age,gender,education_level,marital_status,income,credit_score,loan_amount,loan_purpose,employment_status,years_at_current_job,payment_history,dti_ratio,property_value,previous_defaults,marital_status_change,risk_rating,debt,ltv_ratio
1,49,Male,PhD,Divorced,72799,688,45713,Business,Unemployed,19,Poor,0.154313296,120228,2,2,Low,11233.85364,0.38021925
2,57,Female,Bachelor's,Widowed,0,690,33835,Auto,Employed,6,Fair,0.148919643,55849,3,2,Medium,0,0.605830006
3,21,Non-binary,Master's,Single,55687,600,36623,Home,Employed,8,Fair,0.362398017,180700,3,2,Medium,20180.85837,0.202672939
4,59,Male,Bachelor's,Single,26508,622,26541,Personal,Unemployed,2,Excellent,0.454964381,157319,4,2,Medium,12060.19581,0.168708166
5,25,Non-binary,Bachelor's,Widowed,49427,766,36528,Personal,Unemployed,10,Fair,0.143242424,287140,3,1,Low,7080.043291,0.127213206
6,30,Non-binary,PhD,Divorced,0,717,15613,Business,Unemployed,5,Fair,0.29598445,0,3,1,Medium,0,#DIV/0!
7,31,Non-binary,Master's,Widowed,45280,672,6553,Personal,Self-employed,1,Good,0.378889937,0,0,1,Low,17156.13635,#DIV/0!
8,18,Male,Bachelor's,Widowed,93678,0,0,Business,Unemployed,10,Poor,0.396635724,246597,1,1,Low,37156.04135,0
9,32,Non-binary,Bachelor's,Widowed,20205,710,0,Auto,Unemployed,4,Fair,0.335964978,227599,4,2,Low,6788.17238,0
10,55,Male,Bachelor's,Married,32190,600,29918,Personal,Self-employed,5,Excellent,0.484333305,130507,0,2,Low,15590.68909,0.229244408
11,42,Non-binary,Master's,Single,116212,707,24771,Home,Employed,11,Excellent,0.114133748,212198,0,2,Medium,13263.71112,0.116735313
12,37,Non-binary,Master's,Divorced,78855,718,0,Home,Self-employed,17,Poor,0.193921289,272522,3,2,Low,15291.66324,0
13,60,Female,PhD,Divorced,0,686,15497,Personal,Self-employed,18,Poor,0.328174707,47603,2,2,High,0,0.325546709
14,68,Male,High School,Divorced,79454,688,43365,Personal,Self-employed,15,Good,0.329281544,61967,3,0,Medium,26162.7358,0.699807962
15,29,Male,High School,Divorced,119510,0,5013,Auto,Employed,17,Poor,0.499721861,50568,2,2,Medium,59721.75961,0.09913384
16,68,Female,PhD,Divorced,0,0,42951,Auto,Self-employed,6,Fair,0.550745935,67070,2,2,Low,0,0.640390637
17,55,Male,High School,Married,70978,706,36970,Personal,Unemployed,19,Excellent,0.266940909,54041,1,0,Medium,18946.93184,0.684110213
18,18,Female,Master's,Widowed,102628,654,25442,Home,Unemployed,8,Poor,0.161832579,0,1,2,Medium,16608.55392,#DIV/0!
19,60,Non-binary,Bachelor's,Divorced,0,738,37001,Business,Employed,7,Fair,0.338970973,53055,1,2,Low,0,0.69740835
20,56,Non-binary,PhD,Married,21084,702,22039,Personal,Employed,19,Fair,0.231046374,226053,0,2,Medium,4871.381749,0.097494835
